topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic is not stated.,They want to continue talking about the topic.,N/A,N/A,N/A,"What, but may I just go on a little"
The topic they are talking about is the appearance of patients.,"They are stating that some patients appeared a certain way, but most were a different way.","The facts are that some patients appeared a certain way, but most were a different way.",There are no anecdotes.,N/A,"Correct? I think there were some patients who appeared that way, but principally most were 12 hours. Allow me to just"
The topic the person is talking about is whether it is better to take Tylenol every four hours or every two hours.,"The person's points are that in most cases, taking Tylenol every two hours provides the same relief as taking it every four hours, and that patients are just as pleased with the pain relief when taking it every two hours.","The facts are that in most cases, taking Tylenol every two hours provides the same relief as taking it every four hours, and that patients are just as pleased with the pain relief when taking it every two hours.",There are no anecdotes.,There are no quotes.,"Elaborate just a bit. Normally people take a Tylenol tablet every, or two tablets every four hours, but they will get essentially the same effect. If they take one tablet, every two hours. What we had found was in most patients, this was found as the drug was marketed, who complained that at eight or nine hours, they were back in pain. Yes, they could be treated every three, three times a day. But if you took that dosage daily dose and divided it twice a day, Q 12 hours, they were just as pleased with the pain relief. It was simply that the physician, perhaps by habit or for other reasons, rather than increasing the twice a day dose increase the daily dose by telling the patient, well, take it every eight hours and it would work fine."
The topic is unclear.,The person's points are that they have a vague recollection of the topic and that they would need to see some documents to remember more clearly.,The facts are that the person has a vague recollection of the topic and would need to see some documents to remember more clearly.,There are no anecdotes.,There is no quote.,"Um, I have a vague recollection of it. If you could show me some documents, if you wanted to pursue this with other questions, please show me some documents I have. I have, I do have a very hazy recollection of this very minor complication, but perhaps it was a big regulatory complication. I don't remember. I couldn't explain it to you."
The topic is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,Right?
The topic is twofold fluctuation.,The person's points are that they do not understand the topic and are sorry.,N/A,N/A,N/A,"I'm not certain what this means. I'm sorry, but I don't know. I don't know what twofold fluctuation means. I'm sorry."
The topic the person is talking about is the minutes from the discussion.,"The person's points are that they don't understand the minutes from the discussion, and they think that maybe the person who took the minutes didn't understand the discussion either, or wrote it up in a way that doesn't make sense.",N/A,"The person's anecdote is that they don't understand the minutes from the discussion, and they think that maybe the person who took the minutes didn't understand the discussion either, or wrote it up in a way that doesn't make sense.","""I I'm sure I understood it, but I have a, my, my, my best guess is that whoever was taking the minutes somehow, perhaps even didn't understand the discussion or may have understood it, but wrote it up in a way that doesn't make any sense to me right now,""","I I'm sure I understood it, but I have a, my, my, my best guess is that whoever was taking the minutes somehow, perhaps even didn't understand the discussion or may have understood it, but wrote it up in a way that doesn't make any sense to me right now,"
The topic the person is talking about is pain research.,"The person's points are that the study may have been convincing to the FDA, but it is not the only study that led to that conclusion and that measuring pain is difficult because it is a personal experience.",The facts are that the study was conducted at McGill University in the 1950s and that measuring pain is difficult because it is a personal experience.,There are no anecdotes.,N/A,"The F I can't tell you why, whether this was the study that convinced the FDA of that. Um, but it's certainly, it's not the finding is completely consistent with that. There may have been other studies that led them to that conclusion with this being just supportive of that conclusion in pain studies. I, I might point out that the biggest advance in measuring pain, which of course is a personal experience. No doctor can look at you and say, oh, you've got a pain level of three, and you have a pain level of six. There's no way of doing it. You have to depend on the patient's report. And the huge advance that led to all the research in analgesia and pain relief was called the McGill visual analog scale that was developed in the fifties in McGill university. Uh, in Montreal,"
The topic the person is talking about is a study on pain relief.,The person's points are that the study was not reproducible and that the FDA would not approve the product.,The facts are that the study was not reproducible and that the FDA would not approve the product.,There are no anecdotes.,N/A,"70 years later, we have no advance on that. And needless to say, I suspect everybody in this room has gone to a doctor where they say, do you have pain? And if you say, or to a nurse, when they take your blood pressure, yes, I have pain. And they ask you to rate it. That is clearly better than just saying patient has pain, plus yes or no, but it's not a lot better. It's not terribly, it's not reproducible. And it is highly influenced by the environment and other factors that affect the report that the patient gives. So very often you can compare a highly effective pain reliever to a placebo, and you get in the study, no difference. And that is widely recognized. And that probably related to the study that you talked about earlier, um, the FDA, however, would've required studies that showed a difference and they did before they would approve the product. In other words, the negative didn't was dismissed as a failed study by the FDA, the positive studies control, because"
The topic is oxycodone.,The person's points are that the study was done but it was inconclusive and that oxycodone is indisputably effective in treating pain.,The facts are that the study was done but it was inconclusive and that oxycodone is indisputably effective in treating pain.,There are no anecdotes.,N/A,"As a policy study, I don't know it was dismissed. It was studied, but they must have concluded that that finding is not consistent with either their expectation or ours, or more importantly, other studies and experience and variance. And clearly the product's success in treating patients in pain, which is indisputable, uh, would put a lie to anybody who would say, oh, oxycodone is no better than placebo. I don't think any doctor would assert that for treating pain. Right. I should say maybe they, maybe they would say in terms of urinary incontinence, it's not effective, but for treating pain,"
The topic is death.,"The person's points are that death is not a sign of efficacy and that in the extreme, death could be considered a sign of efficacy.","The facts are that death is not a sign of efficacy and that in the extreme, death could be considered a sign of efficacy.",There are no anecdotes.,There are no quotes.,"I don't think that death would be considered, uh, a sign of efficacy, correct? Yes. I mean, in the extreme, yes. What you say is correct."
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
effectiveness and safety,They are talking about the balance between effectiveness and safety.,no facts given,no anecdotes given,no anecdote given,There's always a balance between effectiveness. I'm sorry. There's always a balance between effectiveness and safety.
They are talking about the correctness of something.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That is correct.
The topic they are talking about is the classification of OxyContin and hydrocodone.,"They are saying that there was no plan to change OxyContin from class two to class three, and that the FDA has recently reclassified hydrocodone as a class two drug.","The facts are that there was no plan to change OxyContin from class two to class three, and that the FDA has recently reclassified hydrocodone as a class two drug.",They do not support their points with anecdotes.,N/A,"Um, your, the answer to your question is nobody. We had no plan program or expectation that or intention to change OxyContin from class two to class three. In fact, it is not too long ago. The FDA has reclassified hydrocodone as a class, two drug."
It is unknown what topic they are talking about.,They do not state any points.,N/A,N/A,N/A,Probably.
The topic the person is talking about is business.,"The person's points are that most new businesses fail, and that this is a fact.",The facts are that most new businesses fail.,There are no anecdotes.,There are no quotes.,Trying
The topic is unknown.,They are questioning the idea and whether or not it would be a good combination.,N/A,N/A,N/A,"I don't know that would've been a combination that would've been the medical department to do studies and then, uh, have them published that would've been a research effort."
The topic is unknown.,They have no points.,N/A,N/A,N/A,Are we finished with this one
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic they are talking about is medicine.,They think it is a good idea to take medicine every three to four hours as needed.,The facts are that medicine should be taken every three to four hours as needed.,They do not support their point with anecdotes.,They do not quote any anecdotes.,It means every three to four hours as needed.
They are talking about the drug OxyContin.,They think it is a good drug.,The facts are that it is a good drug.,They do not support their point with anecdotes.,N/A,"Oxy OxyContin, yes. Or you mean oxycodone?"
N/A,N/A,N/A,N/A,N/A,"I'm sorry. Uh, I don't know."
The topic is good.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic they are talking about is that it is correct.,They think it is good.,The facts are that it is correct.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Correct.
They are talking about the good thing.,They think it is a good thing.,The facts are that it is a good thing.,They do not support their point with anecdotes.,They do not quote any anecdotes.,That's what it means.
no,cannot summarize points,no,no,no,"I, I would have to read this completely and try to answer your question, but I'm not sure that this will prompt me to remember. May I?"
N/A,Cannot summarize points,N/A,N/A,N/A,Okay. I really don't remember this well enough to answer your question.
Suggestion,"The person is talking about a suggestion, but cannot confirm it.",N/A,N/A,N/A,"It seems to suggest that, but I can't confirm it."
They are talking about how good he is as a head of research and development and medical.,They think that he is a good head of research and development and medical.,The facts are that he is a head of research and development and medical.,They do not support their point with anecdotes.,N/A,He was head of R and D research and development and medical.
The topic they are talking about is him being a good head of marketing and sales.,They think he is a good head of marketing and sales.,The facts are that he was head of marketing and sales.,They do not support their point with anecdotes.,N/A,He was head of marketing and sales.
The topic they are talking about is dosing.,They are summarizing the points.,"The facts are that the person needs to take around the clock dosing, rather than rescue doses.",They are not supporting their point with anecdotes.,N/A,"That's what he says. And what he meant was for normal around the clock dosing, rather than rescue, which is one or two or three doses. And that's it as needed."
It is unclear what topic they are talking about.,They do not state any points.,N/A,N/A,N/A,"No, but looks like I wrote"
The topic the person is talking about is the research project head for the OxyContin project.,The person summarizes the points by saying that the research project head was in the medical department and was in charge of the OxyContin project.,The facts are that the research project head was in the medical department and was in charge of the OxyContin project.,The person does not support their point with anecdotes.,N/A,"He was in the medical department and he was the project, the research project head for the overall OxyContin project. Okay."
The author's motivations for writing the first sentence are unknown.,The person cannot explain why the author wrote the first sentence of the text they are discussing. 4. No,No,No,No,"I, I, I can't say why he wrote the first sentence, whether he was frustrated or whether he was actually referring to some sort of deadline, maybe in a clinical trial, maybe on submissions to the FDA. I don't know"
They are talking about using oxycodone around the clock every six hours.,They are summarizing what the person must have meant.,The facts are that you can administer the dose every three to four hours.,They do not support their point with anecdotes.,N/A,"Right? Um, this essentially to fill in what the blank here, what his, what he must have meant was have two indications for regular use of immediate release, oxycodone, administer it around the clock. Every six hours for rescue use adminis. You can administer the dose every three to four. Uh, but that wouldn't be indefinite. This would be for rescue"
,They support their points with facts.,The premises they rely on are that the medication is FDA-approved and that it is safe.,The topic they are talking about is breakthrough pain medication.,,"Breakthrough, actually for breakthrough pain"
N/A,They cannot summarize their points.,N/A,N/A,N/A,That's correct. So he's making a suggestion. He's
They are talking about him.,They think he is a good person.,The facts are that he is a good person.,They do not support their point with anecdotes.,N/A,He is.
The topic is whether or not a question asked by Friedman is valid.,"They think that the question Friedman is asking is valid, and the only answer to it could be that it might be confusing to a physician.",N/A,N/A,N/A,"First of all, Friedman asks a question here. Um, he's not asserting a proposition. He's asking, explain to me why we can't do this. Mm-hmm and I understand why he asked the question and the only answer could be the, it would, it might be confusing to a physician, but I think the emphasis should be on might be confusing. Um <affirmative>"
The topic is his qualifications.,They point out that he was head of marketing at the time.,The fact is that he was head of marketing at the time.,They do not support their point with an anecdote.,N/A,He was head of marketing at the time.
,Cannot remember what the problem was and cannot imagine what he was thinking,,,,"I don't remember. I don't really think it was a problem. I, I, I can't imagine what he was thinking of."
The topic they are talking about is Roxanne.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,"No. Roxanne was an American company, I believe at that time owned by Behringer Ingelheim."
The topic they are talking about is oxycodone.,They think it is addictive and has terrible withdrawal symptoms.,The facts are that it is addictive and has terrible withdrawal symptoms.,They do not support their point with anecdotes.,N/A,Oxycodone? You
It is not clear what topic they are talking about.,They don't have any points.,N/A,N/A,N/A,"No, not to my knowledge. I don't think it was an issue of limit."
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic they are talking about is IR be immediate releases.,They are summarizing their points.,The facts are that they are reading the sentence and they did not follow what it meant.,They do not support their point with anecdotes.,N/A,"Yes. IR be immediate releases. I'm just reading the sentence because I'm not, I didn't follow what it meant."
The topic is unknown.,The person does not provide any points.,N/A,N/A,N/A,I don't know. Sorry.
They are talking about the idea.,They think it is a good idea and they support it.,The facts are that it is a good idea and they support it.,They do not support their point with anecdotes.,N/A,That's
They are talking about the fact that it is correct.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
"The topic is ""per kilogram.""",They think it is a good unit of measurement.,The facts are that it is a unit of measurement for mass.,They do not support their point with anecdotes.,N/A,Per kilogram
The topic is unknown.,They do not remember whether the information is correct.,N/A,N/A,N/A,"I don't remember. Um, the answer is no to your question. I don't remember whether this is correct or not when I wrote it, but it certainly wouldn't have been correct every time."
The topic is unknown.,They did not state any points.,N/A,N/A,N/A,"Could you just restate the question? Cause I kind of lost the thrust, so,"
The topic is a felony plea agreement.,The person's points are that a felony plea agreement came years after many remedial actions had been taken and that the processes started late in 2000 or early 2001 and continued up to the plea agreement.,The facts are that a felony plea agreement came years after many remedial actions had been taken and that the processes started late in 2000 or early 2001 and continued up to the plea agreement.,There are no anecdotes.,There are no quotes.,"I'm not aware of whether such a study was done, um, or anybody focused on that question they may have been done, but you should be, you should think of this, that the felony plea agreement came years after many remedial, you, remedial actions had been taken to retrain everybody to discipline sanction, correct discipline, sanction, or dismiss employees who had behaved improperly and those processes, which started late in 2000 or early 2001 continued right up to the plea agreement. And then after the plea agreement."
Unknown,"The person has not seen many examples of the thing they are talking about, except for a few that they saw in preparation for something.",No,No,No,"I have not seen any, except those that were shown to me, uh, during my preparation, there were three or four that I saw."
It is unclear what topic they are talking about.,They do not provide any points.,N/A,N/A,N/A,I don't think so. Those don't seem familiar to
N/A,They are not sure if they heard the number correctly,N/A,No,N/A,I'm I can't verify that's the first time I've heard a number attached to that.
Unknown,They do not state any points.,N/A,N/A,N/A,I would have no basis to dispute it.
Unknown,The person is not aware of anything that the speaker has submitted to the US attorney's office.,No,No,No,I am not aware of anything that he's submitted to the us attorney's office.
The topic they are talking about is a waste of time and money.,They think it is a waste of time and money.,The facts are that it is a waste of time and money.,They do not support their point with anecdotes.,N/A,I did not.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic is unknown.,The person's points are that they are not aware of the topic.,The facts are that the person is not aware of the topic.,The person does not support their points with anecdotes.,N/A,I'm not aware of that.
N/A,They want more information.,N/A,N/A,N/A,"Do, could you be more"
The topic they are talking about is a waste of time and money.,They think it is a waste of time and money.,The facts are that it is a waste of time and money.,They do not support their point with anecdotes.,N/A,"No, I did not."
N/A,They have no points.,N/A,N/A,N/A,I have never seen it.
no,cannot summarize points,no,no,no,"Here. No, I think he would like"
They are talking about the aha moment.,They think that the aha moment doesn't really help them understand the answer.,N/A,N/A,N/A,I'll read the answer. The aha. Doesn't really set up the answer for me.
They are talking about 2017.,They think it was a great year.,The facts are that they had a great year.,They do not support their point with anecdotes.,N/A,2017.
The topic is whether or not the idea is a good one.,They think it is a good idea and support their points with facts and anecdotes.,The facts are that it is a good idea and it works.,The anecdotes are that it is a good idea and it works.,"""2, 2, 1, 4 14""","2, 2, 1, 4 14"
The topic they are talking about is people who are referenced in the paragraphs but not named.,They say that they don't know the answer to the question.,N/A,N/A,N/A,"Oh, uh, is the question answer of people who are refer referenced, but not named in some of the paragraphs? I don't believe that we made any effort to determine whether at the relevant times they were Purdue Frederick company, employees, or Purdue Pharma employees."
The topic is accuracy of information.,"The person's points are that they cannot vouch for the accuracy, but it is consistent with their knowledge.","The facts are that the person cannot vouch for the accuracy, but it is consistent with their knowledge.",There are no anecdotes.,There is no quote.,"I can't, uh, I, I can't vouch that it's accurate. It's consistent with my knowledge."
The topic they are talking about is whether the question could have been one or either or both.,They think it is a good idea and the answer is correct.,"The facts are that the question could have been one or either or both, and the answer is correct.",They do not support their point with anecdotes.,N/A,"Yes. He said the question is, so it could have been one or either or both. You're not sure. And the answer is correct. Yeah."
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The person's work history,They are guessing that the person worked for Purdue Frederick or Purdue Pharma,N/A,N/A,N/A,"My best guess is he worked for Purdue Frederick, but it's a guess. And maybe for Purdue Pharma, but I don't really know."
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic they are talking about is unknown.,The person's points are that they don't know who the man worked for and that they don't know that.,N/A,N/A,N/A,Know who he worked for? I don't. I don't know that.
N/A,N/A,N/A,N/A,N/A,I don't know for sure.
N/A,They are asking if the person wants to put a number on something.,N/A,N/A,N/A,Did you want to put a number on
The topic is unknown.,They do not make any points.,N/A,N/A,N/A,25 25.
Books,They have not summarized their points.,N/A,N/A,N/A,First paragraph on which page?
They are talking about the second paragraph.,They think it is a good idea and they support their points with facts.,The facts are that it is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"Oh, second paragraph."
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
It is not clear.,They think it is good to not limit it.,N/A,N/A,N/A,Not to limit it? Yes.
The topic is unknown.,They did not make any points.,N/A,N/A,N/A,"I'm sorry, I didn't hear the"
The topic is corrections.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,Correct? None that I was aware of.
The topic is unknown.,They cannot recall any points.,N/A,N/A,N/A,I don't recall.
The topic is the strategy.,They are confused about the strategy.,N/A,N/A,N/A,"What I'm sorry, but what was part of the strategy,"
The topic is the company's decision to lay off employees.,The person's points are that the company's decision was motivated by sales and that it will result in a smaller company.,The facts are that the company's sales were eroded by generics and that the company would have been much smaller without the layoffs.,There are no anecdotes.,There are no quotes.,"Yes. Um, I was aware of that and the reason is clear and us comp was our most important product at that point. And when the sales were eroded and by generics, we would have, I, if we had not replaced those sales with other product sales, we would have a much smaller company that would cost many people, their jobs."
The topic is not clear.,They think it is a good thing and are happy about it.,The facts are that they have become reminded of it.,They do not support their point with anecdotes.,N/A,I've become reminded of it? Yes.
The topic they are talking about is Washington's birthday.,They think that Washington's birthday is a good thing.,The facts are that Washington was a good president.,They do not support their point with anecdotes.,N/A,Washington Washington's birthday.
Agreement,They don't recall if they agree or not.,N/A,N/A,N/A,Agreement? I don't recall.
A specific circumstance,Cannot summarize points,N/A,N/A,N/A,I don't recall that circumstance.
no,cannot summarize points,no,no,no,Right.
The topic the person is talking about is long term safety.,"The person's points are that they don't remember precisely, but all studies would include or would enhance the data available to support long term safety.",The facts are that if the studies were long term and the studies that were referenced here low back pain and osteoarthritis would surely have been long enough to add to that database.,There are no anecdotes.,There is no quote.,"I don't remember precisely, but all studies would include or would enhance the, um, data available to support long term safety. Um, if the studies were long term and the studies that were referenced here low back pain and osteoarthritis would surely have been long enough to add to that database."
The topic is the safety of the drug.,"The person's points are that they don't know how you would do a long term safety study devoid of some condition, and that the long term study would be focused on following a condition like low back pain or osteoarthritis.","The facts are that the studies were typically 12 weeks long, with an open extension at the end.",N/A,N/A,"I, I don't think there was any question about the safety of the drug. It was just an addition that it would enhance the Dosier that was available. I don't know how you would do a long term safety study devoid of some condition. So the long term study would be focused on following, uh, a condition let's say low back pain or, um, or osteoarthritis. And at that time, the studies were typically 12 weeks. And with, with an open extension at the end, I could go on for a year."
The topic the person is talking about is long-term safety.,The person's points are that the long-term safety is a general concept that would apply to any kind of study.,The facts are that the long-term safety is a general concept that would apply to any kind of study.,The person does not support their points with anecdotes.,N/A,"These two studies, low back pain and osteoarthritis mm-hmm <affirmative>, uh, long-term safety would be, uh, a general concept that would apply to any kind of study that's long enough to accumulate that data"
The topic the person is talking about is the study.,The person's points are that the study wasn't necessary and that it was a wishlist.,The facts are that the study wasn't necessary and that it was a wishlist.,There are no anecdotes.,There are no quotes.,"I, I guess I read it differently than you do. Um, just that it wasn't that we, we needed it. It was a wishlist, but it was inherent in any long-term study we did of any pain condition."
Unknown,Cannot summarize points,No,No,No,"I, I don't remember. So if you could just go forward with the question, that"
The topic they are talking about is the use of T ultra as an opioid drug.,They believe that T ultra is an effective opioid drug.,The facts are that T ultra is an opioid drug and NSAIDs are nonsteroidal antiinflammatory drugs.,They do not support their point with anecdotes.,N/A,"Right? Uh, T ultra is an opioid drug. NSAIDs are nonsteroidal antiinflammatory drugs,"
The topic is the difference between two items.,They are confused about why the two items are together.,N/A,N/A,N/A,"So they're not the same. I, I don't know why they were the bullet put them together, but they're different,"
The topic is not stated.,They think the topic is good and support it with facts.,The facts are that the topic is good.,They do not support their point with anecdotes.,N/A,For?
The topic they are talking about is not clear.,They think it is a good thing.,The facts are that it has been marked 25.,They do not support their point with anecdotes.,They do not quote any anecdotes.,This been marked 25.
The topic is a good idea and it worked out well.,They think it is a good idea and are happy with the results.,The facts are that it was a good idea and it worked out well.,They do not support their point with anecdotes.,N/A,You did. Do
Poll,Cannot summarize points,N/A,N/A,N/A,I don't know what the poll is precisely.
The topic is whether or not it is a good idea.,They think it is a good idea and support it.,The facts are that it says it is a good idea.,They do not support their point with anecdotes.,N/A,That's what it says.
The topic is healthcare workers not being given the proper credit for the campaign.,They think that there were other healthcare workers who were not given the proper credit for the campaign.,The facts are that there were other healthcare workers who were not given the proper credit for the campaign.,They do not support their point with anecdotes.,N/A,"No, I think there were partners meaning of the campaign, physicians, nurses, other healthcare workers or our partners."
The topic is whether the government was involved in setting up a healthcare program.,"The person's points are that they don't know whether the government was involved in setting up the program, but they think it's possible.",The facts are that the person doesn't know whether the government was involved in setting up the program.,There are no anecdotes.,N/A,"Involved. I don't know whether other healthcare companies were involved, but the government would not have been involved in setting up this program."
,They do not know if they have done something and have a vague recollection,,,,"I do not, but I, I, no, I don't. I don't know if we did that. I don't think we did, but that's a vague recollection."
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is Purdue Pharma and their promotion of OxyContin.,They are talking about how Purdue Pharma promotes OxyContin without selling it themselves.,The facts are that Purdue Pharma promotes OxyContin without selling it themselves.,There are no anecdotes.,There are no quotes.,"They don't actually sell, but they promote OxyContin. Okay. The distinction being that they don't actually take orders and arrange deliveries and collect any money."
They are talking about a resource they used.,"They think the resource they used was efficient and that's why they used it, but they don't know if other resources would've been more valuable.","They don't quote any facts specifically, but they do say that the resource they used was efficient.",They don't support their point with any anecdotes.,N/A,It was the most valuable resource that we used. We thought it was the most efficient resource. And that's why we used them. Whether other approaches or resources would've been more valuable. I can't say.
The topic they are talking about is pharmaceutical salesforces.,They do not mention any specific points.,N/A,N/A,N/A,That would be typical of any pharmaceutical Salesforce. Yes.
The topic is core prescribers.,They are unsure and think it might have been the other way around.,N/A,N/A,N/A,"I'm not sure. Uh, it, I, it wasn't, I, I think it was the other way around our core. Our most significant prescribers were called core. Not that we identified a core and then they became, uh, important prescribers."
The person is talking about the idea that the Earth is round,The person is guessing that three to five percent of people actively promote the idea that the Earth is round,N/A,N/A,N/A,"Three to five. It's a guess on my part. I don't recall any survey that counted that up, but it's a guess based upon my recollection of what was being actively promoted"
The topic is income from bonuses for sales people.,"The person's points are that the successful sales people made a majority of their income from bonuses, and that the average salesman's income was mostly salary with some bonuses.","The facts are that the successful sales people made a majority of their income from bonuses, and that the average salesman's income was mostly salary with some bonuses.",There are no anecdotes.,There are no quotes.,"The successful, the most successful sales people, uh, a majority of their income was bonus. Um, the average salesman. Um, I certainly, when we launched the product, uh, the overwhelming majority of their income was their salary, uh, and the benefits that they received, uh, and for the average sales force salesman, I think it would've been 50% of their income or 70% of their income salary and the balance and bonus. Sure. But I'm, I don't, I don't remember this in detail. Of course it changed over"
The topic the person is talking about is their company.,The person's points are that their company is the same as almost every other company in the industry.,The facts are that their company is the same as almost every other company in the industry.,There are no anecdotes.,There are no quotes.,"Yes, yes. The same as almost every other company in the industry."
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is OxyContin.,"They are saying that people have been saying OxyContin is bad for a few years, but it hasn't been true in the past and it isn't true now.","The facts are that people have been saying OxyContin is bad for a few years, but it hasn't been true in the past and it isn't true now.",There are no anecdotes.,There are no quotes.,"I've heard that said for one or two years, it certainly wasn't the case, or hasn't been the case during the history of OxyContin."
Unknown,"The person has heard that something was the case, and they are sure that it was unusual.",N/A,N/A,N/A,I've heard that that was the case. I'm sure it was unusual.
The topic they are talking about is whether or not something is correct.,They think it is good.,The facts are that it is correct.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Correct?
The topic they are talking about is using force.,They think that force is the correct way to handle the situation.,N/A,N/A,N/A,"Force, correct? That's"
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know
The topic is not stated.,The person's points are that they are unsure and need more information to make a decision.,N/A,N/A,N/A,I believe that that's the case.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic they are talking about is Purdue Pharma.,"They point out that without Purdue Pharma, they would not have been able to hire somebody.",The fact is that Purdue Pharma exists.,They do not support their point with an anecdote.,N/A,"It would've had to have been, if Purdue Pharma didn't exist, we couldn't have hired somebody. Right."
Frederick,Cannot summarize points,N/A,N/A,N/A,Frederick? I don't know.
The topic the person is talking about is whether people currently working at Purdue Pharma would know about something that happened at the company in the past.,"The person's points are that the people who were working at Purdue Pharma at the time of the event in question might remember it, but they don't know if anyone currently working there would know about it.","The facts are that the people who were working at Purdue Pharma at the time of the event in question might remember it, but they don't know if anyone currently working there would know about it.",There are no anecdotes.,There are no quotes.,"I don't know. At Purdue now, yes. At Purdue Pharma, you mean? Yes. Um, well, the people who were there at that time, um, might recall it, but I don't know who today would know it."
The topic is wholesalers being called upon by the salesman.,They think that wholesalers should be called upon by the salesman.,The facts are that wholesalers were called upon by the salesman.,They do not support their point with anecdotes.,N/A,Wholesalers were called upon by the salesman. Yes.
"The topic is the objective of any product launch, including medicines.","The person's points are that the objective of any product launch, including medicines, is to minimize the number of times a patient goes to the pharmacy and is told that the pharmacy doesn't have the product or has never heard of it.","The facts are that the objective of any product launch, including medicines, is to minimize the number of times a patient goes to the pharmacy and is told that the pharmacy doesn't have the product or has never heard of it.",There are no anecdotes.,There are no quotes.,"I don't think that they would've been encouraged to say that, um, the objective when any product is launched and certainly any medicine is launched is to be, is to minimize the number of times a patient number of patients who get prescriptions from their doctor and go to the pharmacy. And the pharmacist says I don't have that or even worse. I never heard of that"
,The person's points are that it is ethical and proper to have different strengths of the same medication in different pharmacies.,The facts are that having different strengths of the same medication in different pharmacies is a way to reduce tension and to make sure that everyone who needs the medication can get it.,The claims the person makes are that it is ethical and proper to have different strengths of the same medication in different pharmacies.,The premises the person relies on are that having different strengths of the same medication in different pharmacies is a way to reduce tension and to make sure that everyone who needs the medication can get it.,"For obvious reasons. So in order to reduce that one tries to stock all three strengths in as many pharmacies as possible, but to begin with there's no demand. So it's a, there's a bit of tension there in order to supply the pharmacists. The wholesalers have to have enough stock on hand for the ones who buy it early and a sufficient backup stock, both to supply the early buyers and the later adopters. And that was all that we needed to accomplish. And there's not much more I can say about it, except that however we did, it was ethical and proper."
The topic is reading.,They think it is a good way to learn.,The facts are that it is a good way to learn.,They do not support their point with anecdotes.,N/A,You're reading it
The topic is not selling any product.,They are questioning the idea.,N/A,N/A,N/A,Is that as opposed to not selling any product?
The topic the person is talking about is a discount program for the pharmaceutical industry.,The person's points are that the program is not innovative and is standard for the pharmaceutical industry.,The facts are that the program is not innovative and is standard for the pharmaceutical industry.,There are no anecdotes.,There are no quotes.,"Some discount on their early orders to encourage them to stock the product in advance of seeing any prescriptions or one or two prescriptions. Um, and like the rest of there was nothing innovative in this program. This is, this was standard programming in the pharmaceutical industry and in other industries."
They are talking about how you do it.,They think it is textbook and how you are supposed to do it.,The facts are that this is how you do it.,They do not support their point with anecdotes.,N/A,"I, I think this was conventional unprecedented, perhaps for us, but not unprecedented in the industry. This was, this is conventional standard textbook. This is how you do it."
"The topic the person is talking about is the ""partners in pain"" program.","The person's points are that the ""partners in pain"" was designed to inform doctors and to encourage patients to present themselves to their physicians.","The facts are that the ""partners in pain"" was designed to inform doctors and to encourage patients to present themselves to their physicians.",There are no anecdotes given.,N/A,"No. I, I think the partners in pain was principally designed to inform doctors about the proper use of our drugs, um, our medicines, and to encourage patients who may have had pain sometimes for years, inadequately treated or not treated at all to present themselves to their physicians"
The topic they are talking about is donating money to the American pain society.,They think it is good to donate money to the American pain society.,The facts are that they donated money to the American pain society.,They do not support their point with anecdotes.,N/A,"Uh, we donated money to the American pain society."
The topic is unknown.,Cannot summarize points,N/A,N/A,N/A,If it wouldn't surprise me? I don't remember.
