topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
N/A,They are not making any points.,N/A,N/A,N/A,We've already talked about it earlier. I'm just asking a question right now.
The topic they are talking about is a conversation they had with the person.,They are asking if the person recalls a conversation they had.,N/A,N/A,N/A,"Document. I won't read from it then. Uh, let me ask you, do you recall us having that conversation?"
The topic they are talking about is the effectiveness of the vaccine.,They think it is effective.,The facts are that it is effective.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"Yes. And, and your comment was, well, we're not saying that it's not as strong. We're saying it's not as effective. Um, uh, I'm sorry. I object to the form in that question, your comment was, we're not trying to convey that. Um, it's not as powerful, uh, is that correct?"
The topic they are talking about is the song.,They think it is a good song and they like it.,The facts are that it is a good song and they like it.,The anecdote is that they wrote it.,"""Here's the one we were talking about when we wrote,""","Here's the one we were talking about when we wrote,"
They are talking about the placement of something.,They think it is good because it is on the bottom.,The fact is that it is on the bottom.,They do not support their point with an anecdote.,They do not quote an anecdote.,It's on the bottom
"The topic the person is talking about is the use of the words ""effective"" and ""powerful"" in relation to OxyContin.","The person's points are that the words ""effective"" and ""powerful"" are in quotes and that the sentence reads that OxyContin is not as powerful as morphine.","The facts are that the words ""effective"" and ""powerful"" are in quotes and that the sentence reads that OxyContin is not as powerful as morphine.",There are no anecdotes.,There is no quote.,"And they've actually used two words here that are in quotes, correct. One is effective and one is powerful. And the sentence reads, we can show that we are as effective as morphine, but we do not want to say OxyContin is as powerful as morphine. Did I read that correctly?"
The topic they are talking about is the GAO report on OxyContin abuse and diversion.,They think the efforts to address the problem are good.,"The facts are that the GAO put out a report in December, 2003 about OxyContin abuse and diversion.",They do not support their point with anecdotes.,N/A,"All the, have you reviewed the OxyContin abuse and diversion and efforts to address the problem that was put out in December, 2003 by the GAO?"
The topic is giving a copy of the document.,They think it is a good idea and they want to show it to the person.,The facts are that the document exists and the person has never seen it.,They do not support their point with anecdotes.,N/A,Give you a copy of that. You've never seen that document. Is that correct?
The topic is not clear.,The person's points are that they are not sure and they need more information.,N/A,N/A,N/A,"Uh, I will, yes. Okay. But have you ever seen that document?"
They are talking about the sales of OxyContin.,They are questioning whether the information is correct.,"The facts are that in 2001 and 2002, OxyContin sales exceeded 1 billion and prescriptions were over 7 million.",They do not support their point with anecdotes.,N/A,"If you would turn to page nine and I'm looking at the second paragraph last two sentences in both 2001 and 2002 OxyContin sales exceeded 1 billion, 1 billion and prescriptions were over 7 million. The drug became Purdue main product accounting for 90% of the company's total prescription sales by 2001. Um, is that information correct?"
They are talking about Purdue's marketing of OxyContin.,They think that Purdue was trying to get OxyContin prescribed for more people even though it wasn't always necessary. They think that this was done by targeting primary care physicians and giving them incentives to prescribe the drug.,The facts are that Purdue was trying to get OxyContin prescribed for more people and they did this by targeting primary care physicians.,They do not support their points with anecdotes.,N/A,"And if you'll turn to page 17, it under the heading Purdue focused on promoting OxyContin for treatment of non-cancer pain. And if you go down to the last sentence of the second paragraph, it says one of Purdue's goals was to identify primary care physicians who would expand the company's OxyContin prescribing base sales representatives were also directed to call on oncology nurses, consultant, pharmacists, hospices, hospitals, and nursing homes. And is that information accurate,"
The topic the person is talking about is the accuracy of the statement that by 2003 primary care physicians had grown to constitute nearly half of all OxyContin prescribers.,"The person's points are that Purdue has stated that by 2003 primary care physicians had grown to constitute nearly half of all OxyContin prescribers based on data, and that this data is from IMS health and information service providing pharmaceutical market research.","The facts are that Purdue has stated that by 2003 primary care physicians had grown to constitute nearly half of all OxyContin prescribers based on data, and that this data is from IMS health and information service providing pharmaceutical market research.",There are no anecdotes.,There are no quotes.,"And then down second sentence from the bottom, Purdue has stated that by 2003 primary care physicians had grown to constitute nearly half of all OxyContin prescribers based on data, data from IMS health and information service providing pharmaceutical market research. Is that information accurate?"
They are talking about the OxyContin.,They point out that the scope of medical specialties was wider for OxyContin than five other controlled release scheduled to narcotic animal DEA.,The facts are that the scope of medical specialties was wider for OxyContin than five other controlled release scheduled to narcotic animal DEA.,They do not support their point with anecdotes.,N/A,"The next sentence says Deas analysis of physicians, prescribing OxyContin found that the scope of medical specialties was wider for OxyContin than five other controlled release scheduled to narcotic animal DEA. And is that the drug enforcement agency?"
The topic is the DEA expressing concern.,The individual's points are that the DEA expressed concern and that they want to know if the person recalls the DEA expressing that concern.,The facts are that the DEA expressed concern and that they want to know if the person recalls the DEA expressing that concern.,There are no anecdotes.,There is no quote.,"DEA expressed concern that this resulted in OxyContin being promoted to physicians who were not adequately trained in pain management. Uh, do you recall the DEA expressing that concern?"
The topic the person is talking about is the increase in prescriptions for OxyContin.,"The person's points are that the data may not be accurate, and that if it is accurate, it shows a significant increase in prescriptions for OxyContin.","The facts are that, according to IMS health data, the annual number of OxyContin prescriptions for non-cancer pain increased nearly tenfold from about 670,000 in 1997 to 6.2 million in 2002.",There are no anecdotes.,N/A,"Next two sentences produced promotion of OxyContin for the treatment of non-cancer pain contributed to a greater increase in prescriptions for non-cancer pain. Then for cancer pain from 1997 through 2002, according to IMS health data, the annual number of OxyContin prescriptions for non-cancer pain increased nearly tenfold from about 670,000 in 1997 to 6.2 million in 2002. Um, is that information accurate?"
The topic is unknown.,They want the person to go to a specific page.,N/A,N/A,N/A,If you'd go to page
The topic the person is talking about is Purdue's increase in sales representatives.,The person's points are that Purdue's increase in sales representatives led to an increase in the number of physicians to whom it was promoting OxyContin.,The facts are that Purdue's increase in sales representatives led to an increase in the number of physicians to whom it was promoting OxyContin.,There are no anecdotes.,There are no quotes.,"Uh, paragraph by more than doubling its total sales representatives, Purdue significantly increased the number of physicians to whom it was promoting OxyContin."
,The person summarizes the points made about how Purdue was marketing OxyContin.,The facts are that Purdue sales representatives had a list of physicians to call on and that they were expected to make a certain number of calls per week.,The person does not quote any anecdotes.,The person makes the claim that the information about how Purdue was marketing OxyContin is accurate.,"Uh, each Purdue sales representative had specific sales territory and is responsible for developing a list of about a hundred, five to 140 physicians to call on who already prescribe opioids or who or who are candidates for prescribing opioids. In 1996, the 300 plus Purdue sales representatives had a total physician call list of approximately 33,400 to 44,500 by 2000, the nearly 700 representatives had a total call list of approximately 70,500 to 94,000 physicians. Each Purdue sales representative is expected to make 35 physician calls per week, and typically calls on each physician every three to four weeks. Each hospital sales representatives is expected to make about 50 calls per week and typically calls on each facility every four weeks. Uh, was that to your knowledge, accurate information about how Purdue was, uh, marketing OxyContin through its sales force econ through its Salesforce?"
The topic they are talking about is how the total amount of bonuses that Purdue estimated were tied to OxyContin cells increased significantly from about 1 million in 1996 to 40 million in 2001.,They are talking about how the total amount of bonuses that Purdue estimated were tied to OxyContin cells increased significantly from about 1 million in 1996 to 40 million in 2001.,The facts are that the total amount of bonuses that Purdue estimated were tied to OxyContin cells increased significantly from about 1 million in 1996 to 40 million in 2001.,They do not support their point with anecdotes.,N/A,"All right. And if you'll go down to the middle of that next paragraph, the total amount of Bo the amount of total bonuses that Purdue estimated were tied to OxyContin cells increased significantly from about 1 million in 1996, when OxyContin was first marketed to about 40 million in 2001, do you recall, uh, do you have any reason to, um, disagree with the 40 million number for bonuses paid out to your marketing salesman? In 2001?"
The topic they are talking about is the amount of money Purdue spent on promotional efforts for Oxycontin.,They are summarizing the points.,The facts are that Purdue spent more on promotional efforts during Oxycontin's first six years on the market than it had spent on its older product.,There are no anecdotes.,There are no quotes.,"And then if you go to the next page, um, last paragraph, it says, according to Deas analysis of IMS health data, Purdue spent approximately six to 12 times more on promotional efforts during Oxycontin's first six years on the market than it had spent on its older product. MS. Contin during its first six years, or then had been spent by Janssen pharmaceutical or one of Oxycontin's drug, uh, competitors. Duragesic. Did you see"
The topic is unknown.,They do not provide any points.,N/A,N/A,N/A,Did. Is that
The topic is whether Purdue marketing was overly aggressive.,The person's points are that Purdue's marketing campaign was ambitious and that it is difficult to say whether it was too aggressive.,The facts are that Purdue's marketing campaign was ambitious and that it is difficult to say whether it was too aggressive.,There are no anecdotes.,There are no quotes.,Do you believe Purdue marketing was overly aggressive?
The topic is Purdue marketing.,The person's points are that they are unsure if Purdue marketing was appropriate and they would like to know the opinion of the person they are speaking to.,N/A,N/A,N/A,"Um, <affirmative> yeah. Do you believe Purdue marketing was appropriate?"
The topic is Oxycontin's wide availability.,They are reading from a document and summarizing what it says.,The facts are that Oxycontin's wide availability may have increased opportunities for illicit use.,N/A,N/A,"Um, it says here under on page 30 Oxycontin's wide availability may have increased opportunities for illicit use. Um,"
They are talking about a specific page.,They are looking for a specific page.,N/A,N/A,N/A,Page 30?
Unknown,They have not stated any points.,N/A,N/A,N/A,"Um, last paragraph."
The topic they are talking about is OxyContin.,They think that the large amount of OxyContin available in the marketplace has increased opportunities for abuse and diversion.,"The facts are that OxyContin became the top selling name, brand narcotic pain reliever in 2001.",They do not support their point with anecdotes.,N/A,"Thank you. The large amount of OxyContin available in the marketplace may have increased opportunities for abuse and diversion, both DEA and Purdue have stated that an increase in a drugs availability in the marketplace may be a factor that attracts interest by those who abuse and divert drugs. OxyContin. Uh, if you go on down, um, OxyContin became the top selling name, brand narcotic pain reliever in 2001. Um, is that accurate?"
The topic the person is talking about is the poster children of OxyContin.,The person's points are that they are not sure what happened to the poster children of OxyContin and they are curious about it.,There are no facts given.,There are no anecdotes given.,There are no quotes given.,"Yeah. So, um, let's mark that as exhibit 30 30. Have you ever seen an article called what happened to the poster children of OxyContin?"
Purdue Pharma,They argue that Purdue Pharma has not provided anything to the public.,N/A,N/A,N/A,Nobody has ever provided that to you at Purdue Pharma.
The topic is unknown.,They do not state any points.,N/A,N/A,N/A,"September 8th, 2012?"
The topic the person is talking about is whether Purdue OxyContin was successful.,"The person's points are that other companies were thinking about making their own version of OxyContin, which could mean that Purdue OxyContin was successful.",The facts are that other companies were thinking about making their own version of OxyContin.,There are no anecdotes.,N/A,Do you recall a time when Purdue OxyContin was considered so successful that other companies were thinking about whether they could make their own version of OxyContin?
The topic the person is talking about is OxyContin.,The person's points are that other companies were considering making their own version of OxyContin and that OxyContin was considered successful at the time.,The facts are that other companies were considering making their own version of OxyContin and that OxyContin was considered successful at the time.,There are no anecdotes.,There are no quotes.,Sure. Do you recall a period of time where OxyContin was considered so successful that other companies were considering making their own version of OxyContin?
They are talking about the email chain that was provided.,They think it is a good idea and are excited about it.,"The facts are that it is an email chain that was provided and it says subject press release or similar promotion author, Dr. Richard Sackler 8 23 96.",They do not support their point with anecdotes.,N/A,"So this is an email chain that was provided. Um, let's go ahead and mark that as 31. And, um, if you go to page two, it says subject press release or similar promotion author, Dr. Richard Sackler 8 23 96."
The topic is the amount of money that the average American family spends on gasoline.,"The person's points are that the average American family spends $1,200 a year on gasoline, and that this is a lot of money.","The facts are that the average American family spends $1,200 a year on gasoline.",There are no anecdotes.,There are no quotes.,"And it says, um,"
The topic is releasing information on OxyContin tablets.,The person's points are that the product has been successful and that releasing information would lead to more physicians prescribing it.,The facts are that the product has been successful and that releasing information would lead to more physicians prescribing it.,There are no anecdotes.,There are no quotes.,"I think it is no worthy to release information on OxyContin tablets, its use and success in the market and the tremendous reception it received in Vancouver. Uh, we've basically, uh, the newsworthy occasion is that this product has achieved our first year sales projection, four months early. And that by the end of the year, we should have from 130,000 to 150,000 per salesman of sales, the objectives of this release would be stimulate interest in the us community, in the medical community of the us to recognize the tremendous success of OxyContin tablets clinically, and the ratification commercially, we want many more physicians than have presently used it to become aware of its availability and importance in their practice. It would be hope that this would lead to greater use by those currently prescribing and broaden our prescribing base in the us and Canada."
The press release,Asking a question,N/A,N/A,N/A,"And, um, do you know whether that press release took place?"
The topic is a great idea.,They think it is a great idea and they are excited about it.,The facts are that it is a great idea and they are excited about it.,They do not support their point with anecdotes.,N/A,"And then above that, it looks like there's a response to your email from Robert reader."
They are talking about the best way to achieve all goals.,They think that a full flesh PR firm with a one to three year contract is the best way to achieve all goals.,The facts are that a full flesh PR firm with a one to three year contract is the best way to achieve all goals.,They do not support their point with anecdotes.,N/A,"Given the diverse, in both short and midterm goals, I would recommend a full flesh PR firm with a one to three year contract. That way this can be coordinated, actively to achieve all goals rather than a one shot flash. Is this a departure from traditional P slash P LP and that's Purdue Frederick slash Purdue Pharma LP strategy,"
The topic they are talking about is PR.,They support their points with facts and anecdotes.,"Yes, they support their point with facts.","Yes, they support their point with anecdotes.",They do not quote the anecdote.,"And you wrote back and said, I don't see this as a quote departure from policy. And then it looks like, and perhaps this is Friedman who says, my view is different. If you want to use PR to signal our market as to our development pipeline, I have no problem. I do not want to spend money on PR to increase sales. We do not need to have an agency in our pockets. I have learned my lessons. And then you write back on the page one and say, I agree about the agency. I want to signal the licensing in market for the product around the world, get an audience for our patent infringement suits so that we are feared as a tiger with claws, teeth, and balls, and build some excitement with prescribers. That OxyContin tablets is the way to go. And what was your concern there about, uh, licensing and patent infringement?"
The topic they are talking about is Howard UDel's trip to Kentucky.,They are trying to remember if Howard UDel made a trip to Kentucky to meet with attorney general Greg Stubo.,N/A,N/A,N/A,"Do you recall, um, Howard UDel making a trip down to Kentucky to meet with attorney general, Greg Stubo and other members of the,"
The topic is the President's staff.,The person's points are that he does not know many of his staff and does not want to get to know them because they are not his people.,The facts are that the person does not know many of his staff.,There are no anecdotes.,There is no quote.,Of his staff?
They are talking about the date of the letter.,They point out that the letter is dated before the plea agreement.,The facts are that the letter is dated before the plea agreement.,There are no anecdotes.,There is no quote.,"This is a letter dated May 17th, 2005. And that would be prior to the felony plea agreement that Purdue Frederick entered into. Correct."
"The topic is that none of the federal courts in Kentucky has found any misconduct on the part of Purdue, correct?","They point out that none of the federal courts in Kentucky has found any misconduct on the part of Purdue, correct?","The facts are that none of the federal courts in Kentucky has found any misconduct on the part of Purdue, correct?",They do not support their point with anecdotes.,N/A,"And on you'll turn to page six, this is appears to be a letter from Howard UAL dated May 17th, 2005 to Greg, the attorney general of Kentucky. And he points out that, um, none of <affirmative>, none of the federal courts in Kentucky has found any misconduct on the part of Purdue, correct?"
N/A,They have not stated any points.,N/A,N/A,N/A,I'm sorry. I'm on page five.
The topic is the third paragraph down.,They think it is a good idea and they support their points with facts.,The facts are that it is a good idea and it will help people.,They do not support their point with anecdotes.,N/A,The third paragraph down.
They are talking about the courts' findings on the matter of Purdue's misconduct.,They think that the courts have not found any misconduct on the part of Purdue.,The facts are that none of the courts have found any misconduct on the part of Purdue.,They do not support their point with anecdotes.,N/A,"No, it's, I'm reading middle of the paragraph significantly Howard, not one of these courts has found any misconduct on the part of Purdue."
The topic is a good idea.,They think it is a good idea and support their point with facts.,The facts are that it is a good idea and it will help people.,They do not support their point with anecdotes.,N/A,You see that right above the case sites.
The topic they are talking about is paragraph.,They think it is a good idea and support it.,The facts are that paragraph.,They do not support their point with anecdotes.,N/A,"Yes. Paragraph,"
The topic the person is talking about is Purdue's filing in cases and claims of wrongdoing.,"The person's points are that Purdue has filed an answer in all of these cases and claimed they had never done anything improper or wrong, and asks if that is true.",The facts are that Purdue has filed an answer in all of these cases and claimed they had never done anything improper or wrong.,N/A,N/A,Yeah. Purdue answered file an answer in all of these cases and claim they had never done anything improper or wrong. Isn't that true?
,,,,,"Are you aware prior to the,"
The topic is whether Purdue has done anything improper.,The person's points are that they are unsure if Purdue has done anything improper and that the company pled guilty to a felony.,The facts are that the company pled guilty to a felony.,There are no anecdotes.,There are no quotes.,"Are you aware of Purdue ever admitting to doing anything improper? Um, um, prior to the plea agreement where, um, the company pled guilty to a felony of misbranding a drug with the intent to defraud or mislead."
The topic is whether anyone at Purdue has admitted to anything improper.,The person's points are that they are unsure if anyone at Purdue has admitted to anything improper and they want to know if this is the case.,N/A,N/A,N/A,Are you aware of anyone at Purdue ever admitting they did anything improper prior to entering into the plea agreement where the company pled guilty to miss branding a drug with the intent to defraud or mislead?
The topic they are talking about is whether or not a defendant has committed an unlawful act.,They are questioning whether or not a defendant has committed an unlawful act.,"The facts are that a defendant has to prove that a practice of violation has occurred in order to file a suit, and that Purdue has not committed any unlawful act.",There are no anecdotes.,N/A,"And then if you go to page six, the middle of the second paragraph from the bottom, it says first, uh, any suit bought under the act requires proof that a defendant engaged in a practice of violation of KRS 360 7, 1 70, an insurmountable obstacle since Purdue has committed no unlawful act. Um, did I read that correctly?"
"The topic is Howard UDel's alleged unlawful act on May 17th, 2005.","They think that Howard UDel committed an unlawful act on May 17th, 2005.","The facts are that Howard UDel had communicated with Greg stumble that Purdue had commuted, committed.",They do not support their point with anecdotes.,N/A,"And were you aware that Howard UDel had communicated with Greg stumble that Purdue had commuted, committed? No. Unlawful act on May 17th, 2005."
"The topic is that Purdue Frederick existed from May 17th, 2005.",They support their points with facts.,They do not support their point with anecdotes.,N/A,N/A,"Yeah. From May 17th, 2005, did Purdue Frederick exist?"
Companies,The person is asking if the companies were merged at some point,N/A,N/A,N/A,Do you know if the companies were merged at some point?
The topic they are talking about is the agreed statement of facts.,They want to make sure they have another copy of the agreed statement of facts.,The facts are that they want to make sure they have another copy of the agreed statement of facts.,There are no anecdotes.,There are no quotes.,Let's talk about the agreed statement of facts. Do we have another copy of this
The topic is marking the letter.,The person's points are that they have been told multiple times not to mark the letter and that it is a bad habit.,The facts are that the person has been told multiple times not to mark the letter.,There are no anecdotes.,There are no quotes.,"Mark the letter? Oh,"
The topic is the idea.,They think the idea is good and should be done.,N/A,N/A,N/A,Yeah. That's a good idea to
The topic they are talking about is handing out the letter.,They think that handing out the letter will be helpful.,The facts are that handing out the letter will be helpful.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Hand this out by the letter.
They are talking about the person in charge of preparing and approving the sales and marketing materials for Oxycontin.,They point out that the person in charge of preparing and approving the sales and marketing materials for Oxycontin was also in charge of preparing and approving the sales and marketing materials for a similar drug that was previously pulled from the market.,The facts are that the person in charge of preparing and approving the sales and marketing materials for Oxycontin was also in charge of preparing and approving the sales and marketing materials for a similar drug that was previously pulled from the market.,They do not support their point with anecdotes.,N/A,Who was in charge of preparing and approving the sales and marketing materials at the time of Oxycontin's release?
"The topic they are talking about is the song ""Release"" by Beyoncé.",They think the song is good.,"The facts are that the song was written by Beyoncé, Terius Nash, Shea Taylor, Ester Dean, and Cainon Lamb, and that it was produced by Hit-Boy, Beyoncé, and Lamb.",They do not support their point with anecdotes.,N/A,Release
They are talking about the launch.,They point out that someone was in charge of the marketing department at the time of the launch.,The fact is that someone was in charge of the marketing department at the time of the launch.,They do not support their point with an anecdote.,N/A,"And at that time, at the time of the launch who was in charge of the marketing department"
The topic they are talking about is whether or not Michael Friedman was appointed CEO of Purdue.,They are asking if Michael Friedman was the person who was appointed CEO of Purdue.,N/A,N/A,N/A,"Okay. And Michael Friedman, was he the person who ultimately was appointed CEO of Purdue?"
They are talking about an individual's criminal record.,They want to know if the person in question pled guilty to a misdemeanor as part of a plea agreement.,They do not provide any facts.,They do not provide any anecdotes.,They do not quote any anecdote.,Is he one of the individuals who pled guilty to the misdemeanor at the time of the plea agreement?
The topic is Purdue's marketing of Ms. Cotton.,They are asking if the person recalls whether Purdue had received warning letters about its marketing of Ms. Cotton.,N/A,N/A,N/A,Do you recall whether Purdue had received warning letters about its marketing of Ms. Cotton?
The topic is that they cannot recall six warning letters coming in from Ms. Cotton.,They cannot recall six warning letters coming in from Ms. Cotton.,The facts are that they cannot recall six warning letters coming in from Ms. Cotton.,There are no anecdotes.,There are no quotes.,"You don't recall six warning letters coming in from Ms. Cotton? Uh,"
The topic they are talking about is Purdue's marketing of OxyContin.,They are saying that Purdue got warning letters for the way it marketed OxyContin.,The facts are that Purdue got warning letters for the way it marketed OxyContin.,They do not support their point with anecdotes.,N/A,"Do you recall Purdue getting warning letters with respect to the way it was marketing Ms. Uh, marketing OxyContin?"
Purdue University,The person is asking if Purdue University denied that it was doing anything wrong in marketing OxyContin.,N/A,N/A,N/A,"Do you know if Purdue, um, consistently denied it was doing anything wrong with respect to marketing OxyContin?"
The topic they are talking about is the stimulus package.,They think it is a good idea and they support their points with facts.,They do not support their point with anecdotes.,N/A,N/A,All right. The
The topic is the person's guilt.,They think that the person is guilty and that they should have to face the consequences.,The facts are that the person is guilty and that they should have to face the consequences.,There are no anecdotes.,There are no quotes.,Were you involved in approving the agreed statement of facts or the guilty plea?
They are talking about the board adopting the agreed statement of facts.,They want to make sure that there is no confusion and that the board adopts the agreed statement of facts.,The facts are that the board voted to adopt the agreed statement of facts.,They do not support their point with anecdotes.,N/A,"And just so there's no confusion, the board, uh, and voted to adopt the agreed statement of facts. Um, is that correct?"
The topic is the accuracy of the agreed statement of facts.,They question the accuracy of the agreed statement of facts.,The facts are that they question the accuracy of the agreed statement of facts.,There are no anecdotes.,There is no quote.,"Uh, is the agreed statement of facts accurate?"
The topic is the drug OxyContin.,The points are that the drug is being misbranded and that it is harmful.,The facts are that the drug is being misbranded and that it is harmful.,There are no anecdotes.,There are no quotes.,"And in addition to the guilty plea of a felony for, or misbranding a drug with the intent to defraud on mislead, uh, and that drug is OxyContin, correct?"
The topic they are talking about is the criminal justice system.,They support their points with facts.,They do not support their point with anecdotes.,N/A,N/A,"These three individuals, Howard UDel, Michael Friedman, and Paul Goldenheim also pled guilty to misdemeanors, correct?"
The topic they are talking about is Howard UDel.,They think that Howard UDel is a great executive vice president and chief legal officer.,The facts are that Howard UDel is a great executive vice president and chief legal officer.,They do not support their point with anecdotes.,They do not quote any anecdotes.,And Howard UDel was produced executive vice president and chief legal officer.
The topic the person is talking about is Michael Friedman.,The person's points are that Michael Friedman was a good president and CEO and that he did a lot of good for the company.,The facts are that Michael Friedman was the president and CEO of Purdue at the time of the guilty plea.,The anecdote is about how Michael Friedman did a lot of good for the company.,"The person quotes the anecdote by saying ""Michael Friedman was the president and CEO of Purdue at the time of the guilty plea.""",Michael Friedman was the president and CEO of Purdue at the time of the guilty plea.
They are talking about Paul Goldenheim.,They think that Paul Goldenheim did a great job as the executive vice president for worldwide research and development in chief scientific officer.,The facts are that Paul Goldenheim was the former executive vice president for worldwide research and development in chief scientific officer.,They do not support their point with anecdotes.,N/A,"Was. And Paul Goldenheim was the former executive vice president for worldwide research and development in chief scientific officer, correct?"
The topic is whether or not Dr. Goldenheim left Purdue voluntarily.,They are questioning whether or not Dr. Goldenheim left Purdue voluntarily.,The facts are that Dr. Goldenheim left Purdue in 2006.,They do not support their point with anecdotes.,N/A,"Uh, by 2006, Dr. Goldenheim had already left Purdue, correct? Yes. Did he leave voluntarily?"
The topic is why the person is leaving Purdue.,The person asks for the reason the other person is leaving Purdue. ,N/A,N/A,N/A,What reason did he provide you regarding why he was leaving Purdue?
The topic is the agreed statement of facts.,They support their points with facts.,They do not support their point with anecdotes.,,,"And have you seen this agreed statement of facts before,"
The topic is the document.,They are asking if the person provided comments on the document.,N/A,N/A,N/A,"Uh, did you provide comments on this document?"
The topic is the allegations in the document.,The person's points are that they were not surprised by the allegations and that the document does not contain new information.,The facts are that the person was not surprised by the allegations and that the document does not contain new information.,There are no anecdotes.,There are no quotes.,Were you surprised by any of the allegations in the document?
The topic is whether or not the person has read the entire document.,The person's points are that they have not read the entire document and they are questioning if the other person has read it.,The facts are that the person has not read the entire document.,There are no anecdotes.,There are no quotes.,"Okay. And when you say I didn't read the document, uh, as we sit here today, have you ever read the entire document?"
The topic the person is talking about is their position in the company at the time a document was signed.,The person's points are that they do not remember their position in the company at the time and that they want to know more about the topic.,The facts are that the person was employed by the company at the time the document was signed.,There are no anecdotes.,There are no quotes.,"Um, at the time this was signed in, uh, May 7th and eighth of 2007. What was your position in the company?"
The topic is unknown.,They are asking if the person had any other role at the time.,N/A,N/A,N/A,Did you have any other role at that time?
They are talking about the investigation of Purdue.,They point out that the CEO was notified of the investigation.,The facts are that the CEO was notified of the investigation.,There are no anecdotes.,N/A,"You ceased to be CEO in 2003. Is that correct? That's correct. When were you first notified that the, uh, us attorneys for the Western district of Virginia were investigating Purdue?"
The topic is not clear.,They are asking a question to gather information.,N/A,N/A,N/A,Was it before you left as CEO?
"The topic the person is talking about is the issues with addiction, dependency, tolerance buildup, abuse, and diversion prior to the CEO's departure.","The person's points are that there were issues with addiction, dependency, tolerance buildup, abuse, and diversion prior to the CEO's departure.","The facts are that there were issues with addiction, dependency, tolerance buildup, abuse, and diversion prior to the CEO's departure.",The person does not support their points with anecdotes.,N/A,"Do you recall there being issues about, uh, addiction, dependency, uh, tolerance buildup, uh, abuse and diversion, uh, prior to your leaving the CEO?"
The topic is addiction.,The person's points are that addiction is a problem and that there are issues with addiction.,The facts are that addiction is a problem and that there are issues with addiction.,The person does not support their point with anecdotes.,N/A,"Do you recall there being issues, uh, with addiction?"
The topic is abuse and diversion.,"The person's points are that they do not remember when they were first informed about possible abuse and diversion, and they would like to know more information about the topic.",The facts are that the person does not remember when they were first informed about possible abuse and diversion.,There are no anecdotes.,There are no quotes.,And when were you first informed about possible abuse and diversion?
The topic they are talking about is the problems with patients who were on OxyContin.,They are talking about how there have been problems with patients who were on OxyContin.,The facts are that there have been problems with patients who were on OxyContin.,They do not support their point with anecdotes.,N/A,"Okay. Let me see. Do you recall receiving a letter or being notified about a letter from a hospital in, um, Pikeville or hazard concerning, um, problems with patients who were on OxyContin?"
The topic they are talking about is the request for Purdue to identify the names of documents referenced in the agreed statement of facts.,They think it came to Purdue and they are wondering if the person saw the request for Purdue to identify the names of documents referenced in the agreed statement of facts.,The facts are that they have requested Purdue to identify the names of documents referenced in the agreed statement of facts.,They do not support their point with anecdotes.,N/A,"I don't believe so. I think it came to Purdue. And I'm wondering if you saw it's, let's go back to the plea agreement. We'll try to get through this. Um, um, okay. Um, are you aware that we've requested Purdue to identify the names of documents referenced in the agreed statement of facts?"
The topic is the agreed statement of facts.,They are asking if the other person is aware of the agreed statement of facts and if the individuals referenced have been identified.,N/A,N/A,N/A,"Um, are you aware, we've asked them to identify the individuals who are referenced in the agreed statement of facts?"
They are talking about the safety and effectiveness of OxyContin.,They are summarizing a point.,"The facts are that on December 28th, 2004, produced submitted an OxyContin NDA, the FDA, the NDA included clinical trials showing that OxyContin when dosed every 12 hours was as safe and as effective as immediate release oxycodone, dosed every 12 hours.",They do not support their point with anecdotes.,N/A,"Paragraph, if we can go to paragraph 13 of the agreed statement of paragraph 13 says that on December 28th, 2004, produced submitted an OxyContin NDA, the FDA, the NDA included clinical trials showing that OxyContin when dosed every 12 hours was as safe and as effective as immediate release oxycodone, dosed every 12 hours,"
They are talking about the hours.,They think it is good that the hours are every six hours.,The facts are that the hours are every six hours.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"Hours. I mean, sorry, every six hours. Yes."
time,"They are explaining the words ""then"", ""now"", and ""later"".",no,no,no,Then
The topic they are talking about is OxyContin.,They are summarizing the points made in paragraph 14.,"The facts are that OxyContin was not claimed to be safer or more effective than other pain medications, and that Purdue did not have any clinical studies demonstrating that OxyContin was less addictive, less subject to abuse and diversion, or less likely to cause tolerance and withdrawal than other pain medications.",They do not support their point with anecdotes.,N/A,"And then paragraph 14 says the NDA did not claim that OxyContin was safer or more effective than immediate release oxycodone or other pain medications. And Purdue did not have, and did not provide the FDA with any clinical studies demonstrating that OxyContin was less addictive, less subject to abuse and diversion, or less likely to cause tolerance and withdrawal than other pain medications. And is that paragraph correct?"
The topic they are talking about is medical officer reviews.,They support their points with facts.,They do not support their point with anecdotes.,,,"And then there are some medical officer reviews, correct?"
They are talking about OxyContin.,They think that OxyContin is not more effective than other opioids and that it is not safer.,The facts are that OxyContin is not more effective than other opioids and that it is not safer.,They do not support their point with anecdotes.,N/A,"Right. And, uh, and those also did not state that OxyContin was more effective than, or superior to safer had less opioid effects or caused fewer adverse events than any other marketed product."
The topic is information that salespeople give to physicians.,They want to know what type of information the physician usually asks the salesperson.,N/A,N/A,N/A,"And, and me back up a minute, do you know what PHY, when salespeople go call on physicians, what type of information the physician usually asks the salesperson?"
